Date,doc,CCAA,Infectados,Hospitalizados,UCI,Fallecidos,Curados,Nuevos
2020-03-15,45,Extremadura,95,,,2.0,,
2020-03-15,45,Galicia,195,,,2.0,,
2020-03-15,45,Madrid,3544,,,213.0,,
2020-03-15,45,Melilla,8,,,0.0,,
2020-03-15,45,Murcia,71,,,0.0,,
2020-03-15,45,Navarra,183,,,0.0,,
2020-03-15,45,Pais Vasco,630,,,23.0,,
2020-03-15,45,La Rioja,300,,,3.0,,
2020-03-16,46,Andalucia,554,,11.0,7.0,,
2020-03-16,46,Aragon,174,,7.0,11.0,,
2020-03-16,46,Asturias,177,,3.0,1.0,,
2020-03-16,46,Baleares,73,,4.0,1.0,,
2020-03-16,46,Canarias,119,,9.0,1.0,,
2020-03-16,46,Cantabria,58,,2.0,0.0,,
2020-03-16,46,Castilla La Mancha,567,,23.0,17.0,,
2020-03-16,46,Castilla y Leon,334,,24.0,9.0,,
2020-03-16,46,Cataluña,903,,33.0,12.0,,
2020-03-16,46,Ceuta,1,,0.0,0.0,,
2020-03-16,46,C. Valenciana,409,,4.0,5.0,,
2020-03-16,46,Extremadura,111,,1.0,2.0,,
2020-03-16,46,Galicia,245,,9.0,2.0,,
2020-03-16,46,Madrid,4165,,253.0,213.0,,
2020-03-16,46,Melilla,8,,0.0,0.0,,
2020-03-16,46,Murcia,77,,2.0,0.0,,
2020-03-16,46,Navarra,274,,5.0,1.0,,
2020-03-16,46,Pais Vasco,630,,29.0,23.0,,
2020-03-16,46,La Rioja,312,,13.0,4.0,,
2020-03-17,47,Andalucia,683,,13.0,11.0,,
2020-03-17,47,Aragon,207,,9.0,12.0,,
2020-03-17,47,Asturias,193,,5.0,1.0,,
2020-03-17,47,Baleares,92,,4.0,1.0,,
2020-03-17,47,Canarias,148,,13.0,2.0,,
2020-03-17,47,Cantabria,58,,2.0,0.0,,
2020-03-17,47,Castilla La Mancha,567,,23.0,17.0,,
2020-03-17,47,Castilla y Leon,431,,24.0,12.0,,
2020-03-17,47,Cataluña,1394,,33.0,18.0,,
2020-03-17,47,Ceuta,1,,0.0,0.0,,
2020-03-17,47,C. Valenciana,541,,27.0,13.0,,
2020-03-17,47,Extremadura,153,,2.0,3.0,,
2020-03-17,47,Galicia,292,,9.0,3.0,,
2020-03-17,47,Madrid,4871,,340.0,355.0,,
2020-03-17,47,Melilla,17,,0.0,0.0,,
2020-03-17,47,Murcia,97,,3.0,0.0,,
2020-03-17,47,Navarra,313,,10.0,2.0,,
2020-03-17,47,Pais Vasco,765,,33.0,36.0,,
2020-03-17,47,La Rioja,355,,13.0,5.0,,
2020-03-18,48,Andalucia,859,,21.0,19.0,,
2020-03-18,48,Aragon,226,,9.0,13.0,,
2020-03-18,48,Asturias,242,,5.0,1.0,,
2020-03-18,48,Baleares,112,,4.0,1.0,,
2020-03-18,48,Canarias,181,,17.0,3.0,,
2020-03-18,48,Cantabria,68,,3.0,1.0,,
2020-03-18,48,Castilla La Mancha,675,,29.0,28.0,,
2020-03-18,48,Castilla y Leon,668,,43.0,22.0,,
2020-03-18,48,Cataluña,1865,,33.0,41.0,,
2020-03-18,48,Ceuta,1,,0.0,0.0,,
2020-03-18,48,C. Valenciana,726,,40.0,22.0,,
2020-03-18,48,Extremadura,194,,3.0,6.0,,
2020-03-18,48,Galicia,341,,12.0,3.0,,
2020-03-18,48,Madrid,5637,,491.0,390.0,,
2020-03-18,48,Melilla,20,,0.0,0.0,,
2020-03-18,48,Murcia,122,,4.0,0.0,,
2020-03-18,48,Navarra,386,,10.0,3.0,,
2020-03-18,48,Pais Vasco,973,,37.0,40.0,,
2020-03-18,48,La Rioja,419,,13.0,5.0,,
2020-03-19,49,Andalucia,1008,,25.0,23.0,,
2020-03-19,49,Aragon,281,,14.0,15.0,,
2020-03-19,49,Asturias,292,,6.0,1.0,,
2020-03-19,49,Baleares,169,,7.0,2.0,,
2020-03-19,49,Canarias,220,,23.0,3.0,,
2020-03-19,49,Cantabria,83,,4.0,1.0,,
2020-03-19,49,Castilla La Mancha,801,,37.0,42.0,,
2020-03-19,49,Castilla y Leon,868,,54.0,29.0,,
2020-03-19,49,Cataluña,2702,,33.0,55.0,,
2020-03-19,49,Ceuta,1,,0.0,0.0,,
2020-03-19,49,C. Valenciana,921,,52.0,24.0,,
2020-03-19,49,Extremadura,241,,3.0,8.0,,
2020-03-19,49,Galicia,453,,15.0,4.0,,
2020-03-19,49,Madrid,6777,,590.0,498.0,,
2020-03-19,49,Melilla,23,,0.0,0.0,,
2020-03-19,49,Murcia,167,,6.0,0.0,,
2020-03-19,49,Navarra,482,,11.0,4.0,,
2020-03-19,49,Pais Vasco,119,,44.0,53.0,,
2020-03-19,49,La Rioja,468,,15.0,5.0,,
2020-03-20,50,Andalucia,1287,,38.0,30.0,,
2020-03-20,50,Aragon,360,,28.0,17.0,,
2020-03-20,50,Asturias,344,,7.0,2.0,,
2020-03-20,50,Baleares,203,,10.0,2.0,,
2020-03-20,50,Canarias,287,,25.0,4.0,,
2020-03-20,50,Cantabria,144,,7.0,1.0,,
2020-03-20,50,Castilla La Mancha,1044,,37.0,62.0,,
2020-03-20,50,Castilla y Leon,1147,,69.0,43.0,,
2020-03-20,50,Cataluña,327,,33.0,82.0,,
2020-03-20,50,Ceuta,5,,0.0,0.0,,
2020-03-20,50,C. Valenciana,1105,,71.0,33.0,,
2020-03-20,50,Extremadura,297,,4.0,10.0,,
2020-03-20,50,Galicia,578,,19.0,5.0,,
2020-03-20,50,Madrid,7165,,678.0,628.0,,
2020-03-20,50,Melilla,24,,1.0,0.0,,
2020-03-20,50,Murcia,204,,11.0,0.0,,
2020-03-20,50,Navarra,554,,19.0,5.0,,
2020-03-20,50,Pais Vasco,1465,,53.0,71.0,,
2020-03-20,50,La Rioja,497,,15.0,7.0,,
2020-03-21,51,Andalucia,1515,605,53.0,40.0,,228
2020-03-21,51,Aragon,424,192,33.0,22.0,,64
2020-03-21,51,Asturias,486,133,12.0,5.0,,142
2020-03-21,51,Baleares,246,60,14.0,4.0,,43
2020-03-21,51,Canarias,348,139,29.0,7.0,,61
2020-03-21,51,Cantabria,215,92,9.0,2.0,,71
2020-03-21,51,Castilla La Mancha,1423,635,65.0,84.0,,379
2020-03-21,51,Castilla y Leon,1466,575,85.0,55.0,,319
2020-03-21,51,Cataluña,4203,1681,298.0,122.0,,933
2020-03-21,51,Ceuta,5,0,0.0,0.0,,0
2020-03-21,51,C. Valenciana,1363,476,84.0,50.0,,258
2020-03-21,51,Extremadura,354,65,6.0,12.0,,57
2020-03-21,51,Galicia,739,168,29.0,9.0,,161
2020-03-21,51,Madrid,8921,7388,767.0,804.0,,1756
2020-03-21,51,Melilla,25,8,1.0,0.0,,1
2020-03-21,51,Murcia,240,61,14.0,1.0,,36
2020-03-21,51,Navarra,664,222,25.0,9.0,,110
2020-03-21,51,Pais Vasco,1725,654,71.0,85.0,,260
2020-03-21,51,La Rioja,564,128,17.0,15.0,,67
2020-03-22,52,Andalucia,1725,724,55.0,47.0,,210
2020-03-22,52,Aragon,532,241,45.0,24.0,,108
2020-03-22,52,Asturias,545,171,15.0,8.0,,59
2020-03-22,52,Baleares,331,79,14.0,4.0,,85
2020-03-22,52,Canarias,414,150,32.0,9.0,,66
2020-03-22,52,Cantabria,282,116,9.0,5.0,,67
2020-03-22,52,Castilla La Mancha,1819,838,76.0,112.0,,396
2020-03-22,52,Castilla y Leon,1744,709,106.0,74.0,,278
2020-03-22,52,Cataluña,4704,1681,298.0,191.0,,501
2020-03-22,52,Ceuta,5,0,0.0,0.0,,0
2020-03-22,52,C. Valenciana,1604,590,113.0,69.0,,241
2020-03-22,52,Extremadura,384,87,8.0,14.0,,30
2020-03-22,52,Galicia,915,227,35.0,12.0,,176
2020-03-22,52,Madrid,9702,8441,834.0,1021.0,,781
2020-03-22,52,Melilla,25,12,1.0,0.0,,0
2020-03-22,52,Murcia,296,78,16.0,1.0,,56
2020-03-22,52,Navarra,794,288,30.0,14.0,,130
2020-03-22,52,Pais Vasco,2097,988,81.0,97.0,,372
2020-03-22,52,La Rioja,654,134,17.0,18.0,,90
2020-03-23,53,Andalucia,1960,865,77.0,58.0,50,236
2020-03-23,53,Aragon,638,298,52.0,32.0,3,106
2020-03-23,53,Asturias,594,194,22.0,12.0,21,49
2020-03-23,53,Baleares,400,87,27.0,10.0,18,69
2020-03-23,53,Canarias,481,172,32.0,11.0,7,67
